_id,title,description,year,players.min,players.max,duration,age,complexity,designers.0,designers.1,designers.2,categories.0,categories.1,categories.2,categories.3,expansions.0.title,expansions.0.year,expansions.0.rating,expansions.0.duration,expansions.0.designers.0,expansions.0.designers.1,expansions.0.complexity,expansions.1.title,expansions.1.year,expansions.1.rating,expansions.1.duration,expansions.1.designers.0,expansions.1.designers.1,expansions.1.designers.2,expansions.1.complexity,expansions.2.title,expansions.2.year,expansions.2.rating,expansions.2.duration,expansions.2.designers.0,expansions.2.designers.1,expansions.2.designers.2,expansions.2.complexity,expansions.3.title,expansions.3.rating,expansions.3.duration,expansions.3.designers.0,expansions.3.designers.1,expansions.3.complexity,expansions.4.title,expansions.4.year,expansions.4.duration,expansions.4.designers.0,expansions.4.complexity
ObjectId(635ebdafad6c62d408887c88),Carcassonne,"Shape the medieval landscape of France, claiming cities, monasteries and farms.",2000,2,5,45,7,1.9,Klaus-Jürgen Wrede,,,City Building,Medieval,Territory Building,,Carcassonne Maps: Taiwan,2021,8.8,60,Klaus-Jürgen Wrede,,1.5,Carcassonne: The Gifts,2021,7.5,45,Hans in Glück team,Klaus-Jürgen Wrede,,,Carcassonne: The Signposts,2021,7.9,45,Klaus-Jürgen Wrede,,,,Carcassonne Maps: France,8.1,,Klaus-Jürgen Wrede,,2,Carcassonne: The Peasant Revolts,2020,,Klaus-Jürgen Wrede,
ObjectId(635ebdafad6c62d408887c89),Splendor,"Renaissance merchants race to grab gems, acquire property, and please nobility.",2014,2,4,30,10,1.78,Marc André,,,Card Game,Economic,Renaissance,,Splendor: Nobles and Cities Promo,2020,7,30,Marc André,,,Splendor: Cities of Splendor,2017,7.4,30,Marc André,,,2.17,Splendor: Diane de Poitiers Promo Noble,2018,8.1,30,Marc André,,,2,,,,,,,,,,,
ObjectId(635ebdafad6c62d408887c8a),Exploding Kittens,"Ask for favors, attack friends, see the future- whatever it takes to avoid exploding!",2015,2,5,15,7,1.09,Matthew Inman,Elan Lee,Shane Small,Animals,Card Game,Comic Book / Strip,Humor,Exploding Kittens: Barking Kittens,2020,7,15,Matthew Inman,,1.25,Exploding Kittens: Streaking Kittens,2018,7.2,15,Matthew Inman,Elan Lee,Shane Small,1.11,Exploding Kittens: Imploding Kittens,2016,7,15,Matthew Inman,Elan Lee,Shane Small,1.13,,,,,,,,,,,
ObjectId(635ebdafad6c62d408887c8b),Clank!: A Deck-Building Adventure,Claim your treasures but don't attract the dragon in this deck-building dungeon race.,2016,2,4,60,12,2.22,Paul Dennen,,,Adventure,Fantasy,,,Clank!: Wand of Time,2018,7.9,60,Paul Dennen,,3,Clank!: The Mummy's Curse,2018,7.9,60,Andy Clautice,,,2.21,Clank! Expeditions: Gold and Silk,2018,8,60,Tim McKnight,,,2.18,Clank!: Adventuring Party,8.3,120,Evan Lorentz,,2.31,,,,,
ObjectId(635ebdafad6c62d408887c8c),The Crew: The Quest for Planet Nine,Go on a planet-discovering space mission in this cooperative trick-taking game.,2019,2,5,20,10,1.97,Thomas Sing,,,Card Game,Science Fiction,Space Exploration,,The Crew: Flight to the ISS,2020,7.8,20,Thomas Sing,,2,The Crew: The Deimos Adventure,2020,7.7,20,Thomas Sing,,,2,,,,,,,,,,,,,,,,,,,
ObjectId(635ebdafad6c62d408887c8d),Takenoko,Carefully cultivate a bamboo garden with the help of a gardener and a hungry panda.,2011,2,4,45,8,1.98,Antoine Bauza,,,Animals,Environmental,Farming,Territory Building,Takenoko: Chibis,2015,7.6,45,Antoine Bauza,Corentin Lebrat,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectId(635ebdafad6c62d408887c8e),Power Grid,"Bid, network, and manage resources in a race to supply the most cities with power.",2004,2,6,120,12,3.26,Friedemann Friese,,,Economic,Industry / Manufacturing,,,Power Grid: Europe/North America,2021,8.2,120,Friedemann Friese,,,Power Grid: Middle East/South Africa,2019,8,120,Friedemann Friese,,,3,Power Grid: Fabled Expansion,2017,6.9,120,Friedemann Friese,,,3.33,Power Grid: The Stock Companies,6.7,120,Friedemann Friese,,3.55,Power Grid: Taxes,2013,120,Friedemann Friese,3.07
ObjectId(635ebdafad6c62d408887c8f),Patchwork,Piece together a quilt and leave no holes to become the button master.,2014,2,2,30,8,1.61,Uwe Rosenberg,,,Abstract Strategy,Economic,Puzzle,,Patchwork: Automa,2018,7.7,30,Lines J. Hutter,Morten Monrad Pedersen,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectId(635ebdafad6c62d408887c90),CATAN,Collect and trade resources to build up the island of Catan in this modern classic.,1995,3,4,120,10,2.31,Klaus Teuber,,,Economic,Negotiation,,,Catan Scenarios: Global Warming,2020,6,120,Sam Illingworth,Paul Wake,,Catan: Cities & Knights – Legend of the Conquerors,2019,8.1,120,Klaus Teuber,Benjamin Teuber,,2.61,Catan Scenario: Crop Trust,2018,7.2,90,Klaus Teuber,Benjamin Teuber,,2.33,Catan: Seafarers Scenario – Legend of the Sea Robbers,7.5,90,Klaus Teuber,Benjamin Teuber,2.2,,,,,
ObjectId(635ebdafad6c62d408887c91),Gloomhaven,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,2017,1,4,120,14,3.89,Isaac Childres,,,Adventure,Exploration,Fantasy,Fighting,Gloomhaven: Forgotten Circles,2019,7.8,120,Isaac Childres,Marcel Cwertetschka-Mattasits,4.26,Gloomhaven: Solo Scenarios,2017,8.5,,Isaac Childres,,,4.19,,,,,,,,,,,,,,,,,,,
ObjectId(635ebdafad6c62d408887c92),7 Wonders,Draft cards to develop your ancient civilization and build its Wonder of the World.,2010,2,7,30,10,2.32,Antoine Bauza,,,Ancient,Card Game,City Building,Civilization,7 Wonders: Armada,2018,8,40,Antoine Bauza,,2.79,7 Wonders: Babel,2014,6.9,45,Antoine Bauza,,,2.65,7 Wonders: Leaders – Nimrod,2014,7.1,40,Antoine Bauza,,,2.4,7 Wonders: Leaders – Wil,6.9,40,Antoine Bauza,,2.19,7 Wonders: Cities,2012,40,Antoine Bauza,2.35
